datetime,wind_speed_kmh,source_file,year,month,day,hour,time_lst,is_interpolated_or_filled,hour_index_8760
2001-11-09 06:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,6,06:00,False,7494
2001-11-09 07:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,7,07:00,False,7495
2001-11-09 08:00:00,17.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,8,08:00,False,7496
2001-11-09 09:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,9,09:00,False,7497
2001-11-09 10:00:00,22.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,10,10:00,False,7498
2001-11-09 11:00:00,26.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,11,11:00,False,7499
2001-11-09 12:00:00,33.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,12,12:00,False,7500
2001-11-09 13:00:00,32.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,13,13:00,False,7501
2001-11-09 14:00:00,32.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,14,14:00,False,7502
2001-11-09 15:00:00,33.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,15,15:00,False,7503
2001-11-09 16:00:00,24.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,16,16:00,False,7504
2001-11-09 17:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,17,17:00,False,7505
2001-11-09 18:00:00,19.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,18,18:00,False,7506
2001-11-09 19:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,19,19:00,False,7507
2001-11-09 20:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,20,20:00,False,7508
2001-11-09 21:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,21,21:00,False,7509
2001-11-09 22:00:00,15.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,22,22:00,False,7510
2001-11-09 23:00:00,9.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,9,23,23:00,False,7511
2001-11-10 00:00:00,13.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,0,00:00,False,7512
2001-11-10 01:00:00,0.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,1,01:00,False,7513
2001-11-10 02:00:00,4.0,en_climate_hourly_SK_4016560_11-2001_P1H.csv,2001,11,10,2,02:00,False,7514
