z_midpoint,North Battleford,Swift Current,Toronto Island A,Common Wind Speed Model
1.8,0.00749337899543379,0.007356735159817352,0.007449315068493151,0.007433143074581431
1.9000000000000001,0.006384817351598173,0.006400799086757991,0.006447716894977169,0.0064111111111111105
2.0,0.005445890410958904,0.005396803652968037,0.005538698630136986,0.005460464231354642
2.1,0.004586301369863014,0.004588584474885845,0.004844634703196347,0.004673173515981735
2.2,0.0038470319634703195,0.0038684931506849313,0.004077625570776256,0.003931050228310502
2.3000000000000003,0.0032401826484018265,0.003265296803652968,0.0035319634703196347,0.003345814307458143
2.4000000000000004,0.002689269406392694,0.0027420091324200915,0.0029755707762557076,0.002802283105022831
2.5,0.0022252283105022833,0.0022779680365296803,0.002534360730593607,0.0023458523592085234
2.6,0.0018301369863013698,0.0019207762557077626,0.0021327625570776256,0.0019612252663622526
2.7,0.0015412100456621005,0.001588013698630137,0.0018020547945205479,0.001643759512937595
2.8000000000000003,0.0012680365296803653,0.001324771689497717,0.0015028538812785388,0.0013652207001522072
2.9000000000000004,0.0010138127853881278,0.0011110730593607305,0.0012528538812785388,0.0011259132420091324
3.0,0.0008312785388127854,0.0008909817351598174,0.0010447488584474885,0.0009223363774733638
3.1,0.0006805936073059361,0.0007349315068493151,0.0008958904109589042,0.0007704718417047184
3.2,0.0005570776255707763,0.0005963470319634703,0.0007236301369863014,0.0006256849315068492
3.3000000000000003,0.0004496575342465753,0.0005026255707762557,0.000609703196347032,0.0005206621004566211
3.4000000000000004,0.000358675799086758,0.00040296803652968034,0.0004995433789954337,0.0004203957382039574
3.5,0.0002761415525114155,0.0003339041095890411,0.0003952054794520548,0.00033508371385083713
3.6,0.00022796803652968037,0.0002726027397260274,0.0003473744292237443,0.00028264840182648407
3.7,0.00017773972602739727,0.0002154109589041096,0.0002747716894977169,0.00022264079147640793
3.8000000000000003,0.00014075342465753423,0.00016952054794520547,0.00022226027397260275,0.00017751141552511417
3.9000000000000004,0.00011780821917808219,0.00014817351598173515,0.00017899543378995433,0.0001483257229832572
4.0,9.121004566210046e-05,0.00011449771689497716,0.0001430365296803653,0.00011624809741248097
4.1000000000000005,7.477168949771689e-05,9.931506849315068e-05,0.0001158675799086758,9.665144596651444e-05
4.2,5.8447488584474885e-05,7.328767123287671e-05,9.840182648401826e-05,7.671232876712329e-05
4.3,4.8858447488584476e-05,6.0273972602739724e-05,7.922374429223744e-05,6.278538812785389e-05
4.4,3.881278538812785e-05,4.8059360730593605e-05,6.438356164383562e-05,5.041856925418569e-05
4.5,2.785388127853881e-05,3.949771689497717e-05,5.228310502283105e-05,3.9878234398782346e-05
4.6000000000000005,2.6141552511415525e-05,2.8538812785388127e-05,3.8926940639269404e-05,3.120243531202435e-05
4.7,1.9406392694063926e-05,2.7054794520547944e-05,3.2648401826484016e-05,2.6369863013698625e-05
4.800000000000001,1.541095890410959e-05,1.872146118721461e-05,2.5342465753424657e-05,1.9824961948249618e-05
4.9,1.1073059360730594e-05,1.5639269406392693e-05,1.80365296803653e-05,1.4916286149162861e-05
5.0,9.360730593607305e-06,1.1529680365296803e-05,1.7009132420091323e-05,1.2633181126331809e-05
