Year,Month,Day,Time (LST),Wind Spd (km/h)
1994,10,10,22:00,9
1994,10,10,23:00,11
1994,10,11,00:00,13
1994,10,11,01:00,11
1994,10,11,02:00,4
1994,10,11,03:00,0
1994,10,11,04:00,0
1994,10,11,05:00,0
1994,10,11,06:00,0
1994,10,11,07:00,0
1994,10,11,08:00,0
1994,10,11,09:00,0
1994,10,11,10:00,0
1994,10,11,11:00,0
1994,10,11,12:00,0
1994,10,11,13:00,0
1994,10,11,14:00,0
1994,10,11,15:00,4
1994,10,11,16:00,4
1994,10,11,17:00,6
1994,10,11,18:00,0
1994,10,11,19:00,0
1994,10,11,20:00,0
1994,10,11,21:00,0
1994,10,11,22:00,0
1994,10,11,23:00,0
1994,10,12,00:00,0
1994,10,12,01:00,0
1994,10,12,02:00,0
1994,10,12,03:00,4
1994,10,12,04:00,0
1994,10,12,05:00,11
1994,10,12,06:00,7
1994,10,12,07:00,4
1994,10,12,08:00,9
1994,10,12,09:00,7
1994,10,12,10:00,15
1994,10,12,11:00,19
1994,10,12,12:00,20
1994,10,12,13:00,17
1994,10,12,14:00,17
1994,10,12,15:00,11
1994,10,12,16:00,15
1994,10,12,17:00,15
1994,10,12,18:00,11
1994,10,12,19:00,15
1994,10,12,20:00,15
1994,10,12,21:00,13
1994,10,12,22:00,15
1994,10,12,23:00,15
1994,10,13,00:00,13
1994,10,13,01:00,19
1994,10,13,02:00,19
1994,10,13,03:00,19
1994,10,13,04:00,17
1994,10,13,05:00,15
1994,10,13,06:00,19
1994,10,13,07:00,19
1994,10,13,08:00,20
1994,10,13,09:00,19
1994,10,13,10:00,19
1994,10,13,11:00,19
1994,10,13,12:00,26
1994,10,13,13:00,26
1994,10,13,14:00,26
1994,10,13,15:00,30
1994,10,13,16:00,28
1994,10,13,17:00,24
1994,10,13,18:00,26
1994,10,13,19:00,24
1994,10,13,20:00,22
1994,10,13,21:00,20
1994,10,13,22:00,19
1994,10,13,23:00,28
1994,10,14,00:00,20
1994,10,14,01:00,22
1994,10,14,02:00,22
1994,10,14,03:00,19
1994,10,14,04:00,22
1994,10,14,05:00,22
1994,10,14,06:00,17
1994,10,14,07:00,19
1994,10,14,08:00,17
1994,10,14,09:00,17
1994,10,14,10:00,19
1994,10,14,11:00,19
1994,10,14,12:00,17
1994,10,14,13:00,19
1994,10,14,14:00,19
1994,10,14,15:00,22
1994,10,14,16:00,22
1994,10,14,17:00,22
1994,10,14,18:00,19
1994,10,14,19:00,20
1994,10,14,20:00,24
1994,10,14,21:00,22
1994,10,14,22:00,24
1994,10,14,23:00,22
1994,10,15,00:00,13
1994,10,15,01:00,17
1994,10,15,02:00,20
1994,10,15,03:00,19
1994,10,15,04:00,22
1994,10,15,05:00,22
1994,10,15,06:00,26
1994,10,15,07:00,19
