Month,Day,Hour,mu_t,sigma_t,count
3,30,13,24.2,10.61804394146385,15
3,30,14,23.785714285714285,13.015839885005038,14
3,30,15,23.266666666666666,12.008726985385413,15
3,30,16,22.466666666666665,9.37219799396573,15
3,30,17,22.933333333333334,10.312729073934841,15
3,30,18,17.733333333333334,11.367036720690393,15
3,30,19,14.533333333333333,9.195236862222798,15
3,30,20,12.8,8.230604907469266,15
3,30,21,13.466666666666667,6.5450817594660515,15
3,30,22,13.4,6.196773353931867,15
3,30,23,14.733333333333333,5.861090423494672,15
3,31,0,15.333333333333334,8.474050024015897,15
3,31,1,15.733333333333333,6.61671764404016,15
3,31,2,16.066666666666666,7.805370556470047,15
3,31,3,15.066666666666666,6.776710818960002,15
3,31,4,17.4,5.65432830417801,15
3,31,5,17.466666666666665,4.307247491424303,15
3,31,6,16.666666666666668,4.83538544285276,15
3,31,7,16.4,3.089151524748688,15
3,31,8,13.866666666666667,5.501514942874069,15
3,31,9,16.733333333333334,7.430311151595457,15
3,31,10,16.6,6.254141484991022,15
3,31,11,18.133333333333333,9.723804859846837,15
3,31,12,19.133333333333333,9.687006515848703,15
3,31,13,20.266666666666666,12.314142082910008,15
3,31,14,19.666666666666668,11.107697888444408,15
3,31,15,21.2,12.16669928240899,15
3,31,16,22.4,10.946623745638261,15
3,31,17,18.133333333333333,11.306550987728098,15
3,31,18,18.933333333333334,9.051177245188027,15
3,31,19,16.266666666666666,7.657551517168868,15
3,31,20,15.4,5.539468772880147,15
3,31,21,15.266666666666667,5.522249369164535,15
3,31,22,15.2,6.224376044460773,15
3,31,23,16.8,5.361236531142525,15
4,1,0,18.666666666666668,6.924765768773768,15
4,1,1,18.266666666666666,5.522249369164534,15
4,1,2,20.2,6.281492088440681,15
4,1,3,20.133333333333333,6.446113631668383,15
4,1,4,21.0,6.761234037828133,15
4,1,5,21.066666666666666,8.430104783848577,15
4,1,6,22.733333333333334,7.353003921300917,15
4,1,7,21.533333333333335,7.963009720546862,15
4,1,8,22.466666666666665,10.01332445627658,15
4,1,9,22.666666666666668,8.780389404533155,15
4,1,10,24.8,9.510896007061733,15
4,1,11,25.8,11.32128210811075,15
4,1,12,26.066666666666666,9.437513796899406,15
4,1,13,28.4,9.840150986065785,15
4,1,14,26.533333333333335,10.280818940883945,15
4,1,15,27.6,12.397004246418337,15
4,1,16,28.066666666666666,14.26517571203517,15
4,1,17,28.333333333333332,14.003400947456946,15
4,1,18,25.133333333333333,14.095929841455586,15
4,1,19,22.733333333333334,12.38931951703717,15
4,1,20,22.8,19.027048416098893,15
4,1,21,22.733333333333334,12.073978316236632,15
4,1,22,24.0,12.328828005937952,15
4,1,23,24.733333333333334,11.435949999057902,15
4,2,0,26.6,12.949351886705152,15
4,2,1,24.466666666666665,13.886615686987785,15
4,2,2,24.733333333333334,12.914369995510908,15
4,2,3,26.266666666666666,15.854096661506166,15
4,2,4,24.266666666666666,13.00256384974389,15
4,2,5,22.866666666666667,12.188206633971257,15
4,2,6,22.8,11.091824531093676,15
4,2,7,22.533333333333335,11.24319900248696,15
4,2,8,23.266666666666666,12.808851106428971,15
4,2,9,23.733333333333334,12.947513090864023,15
4,2,10,25.466666666666665,9.745817173585413,15
4,2,11,28.0,9.079018197391798,15
4,2,12,29.0,10.60996835864408,15
4,2,13,29.133333333333333,11.444691012908665,15
4,2,14,27.066666666666666,11.984911148527353,15
4,2,15,24.733333333333334,13.614418127572732,15
4,2,16,25.0,10.212037714663724,15
4,2,17,22.533333333333335,12.911051006608181,15
4,2,18,23.666666666666668,13.4412301024373,15
4,2,19,21.933333333333334,12.138878900144814,15
4,2,20,17.933333333333334,11.16414328276448,15
4,2,21,19.8,14.905416081794852,15
4,2,22,20.866666666666667,12.86116339253661,15
4,2,23,19.066666666666666,12.215135030343456,15
4,3,0,20.0,10.757057484009543,15
4,3,1,21.666666666666668,11.678225566452822,15
4,3,2,19.533333333333335,10.439394253545192,15
4,3,3,19.466666666666665,11.709987597081797,15
4,3,4,20.533333333333335,10.12681494609144,15
4,3,5,22.066666666666666,10.760155778656383,15
4,3,6,22.133333333333333,9.82610711077286,15
4,3,7,19.142857142857142,11.77910237442789,14
4,3,8,20.266666666666666,11.157743414115512,15
4,3,9,23.933333333333334,11.554013938681141,15
4,3,10,24.466666666666665,9.760464469822463,15
4,3,11,24.666666666666668,11.16542281629615,15
4,3,12,26.666666666666668,12.476644848141934,15
4,3,13,27.133333333333333,13.075968506422473,15
4,3,14,25.666666666666668,12.93757907728306,15
4,3,15,23.2,13.121411073944317,15
4,3,16,22.733333333333334,10.970523276142345,15
4,3,17,22.333333333333332,12.860052580800454,15
4,3,18,22.466666666666665,9.884090150096675,15
4,3,19,18.466666666666665,9.272591459832164,15
4,3,20,16.133333333333333,5.540328338215895,15
4,3,21,16.466666666666665,5.05493629558088,15
4,3,22,17.933333333333334,6.891678902505404,15
4,3,23,18.4,8.069342334681663,15
4,4,0,16.8,7.232861516321582,15
4,4,1,16.333333333333332,8.981462390204985,15
4,4,2,17.6,7.3853136116794085,15
4,4,3,16.266666666666666,6.891678902505404,15
4,4,4,17.066666666666666,7.166057559940539,15
4,4,5,16.466666666666665,8.061076378558411,15
4,4,6,17.533333333333335,6.68544973021547,15
4,4,7,16.666666666666668,6.852180744287249,15
4,4,8,17.2,8.5707142559499,15
4,4,9,17.933333333333334,8.713426967835877,15
4,4,10,20.357142857142858,9.119776843230852,14
4,4,11,21.466666666666665,10.091486274979284,15
4,4,12,21.533333333333335,8.749421749600424,15
4,4,13,22.066666666666666,10.402380679898414,15
4,4,14,20.933333333333334,7.610769312218674,15
4,4,15,22.533333333333335,9.241727317418741,15
4,4,16,20.133333333333333,8.683865718073017,15
4,4,17,17.4,10.742439201596628,15
4,4,18,16.266666666666666,11.080656676431788,15
4,4,19,15.4,7.538472751729718,15
4,4,20,15.666666666666666,9.139136147569392,15
4,4,21,14.8,8.88176301675035,15
4,4,22,17.466666666666665,9.657466886646139,15
4,4,23,16.0,8.76682056718072,15
4,5,0,18.733333333333334,8.206849636272189,15
4,5,1,17.0,8.89622712968015,15
4,5,2,18.133333333333333,9.264885063404469,15
4,5,3,21.333333333333332,13.823720125032846,15
4,5,4,18.428571428571427,8.035634920242991,14
4,5,5,21.333333333333332,14.700178165425006,15
4,5,6,20.933333333333334,13.85365690075402,15
4,5,7,20.733333333333334,12.897766510228854,15
4,5,8,20.066666666666666,10.950972994387737,15
4,5,9,21.466666666666665,11.500724614852174,15
4,5,10,23.066666666666666,12.185862222068575,15
4,5,11,23.933333333333334,13.614418127572728,15
4,5,12,23.333333333333332,12.436505404118419,15
4,5,13,24.733333333333334,13.509079838954172,15
4,5,14,25.933333333333334,11.591047448456974,15
4,5,15,25.266666666666666,11.96104789166345,15
4,5,16,22.8,12.621976299862304,15
4,5,17,21.133333333333333,11.413442367080437,15
4,5,18,20.533333333333335,11.42595208078438,15
4,5,19,17.666666666666668,11.938333615869908,15
4,5,20,14.733333333333333,10.03185402794993,15
4,5,21,15.6,9.991424894807118,15
4,5,22,17.0,8.96022958889527,15
4,5,23,17.866666666666667,10.105632564258881,15
4,6,0,18.466666666666665,10.934001141045346,15
4,6,1,19.666666666666668,9.278751968623695,15
4,6,2,18.333333333333332,10.971825389649272,15
4,6,3,18.8,8.265245653595889,15
4,6,4,17.333333333333332,8.208590157935307,15
4,6,5,17.0,8.476859256655313,15
4,6,6,17.2,9.20558836483889,15
4,6,7,18.266666666666666,9.26950967008555,15
4,6,8,17.666666666666668,9.839183086492689,15
4,6,9,20.8,11.4654761286718,15
4,6,10,22.733333333333334,11.354462097510808,15
4,6,11,22.4,11.223699415586136,15
4,6,12,21.533333333333335,11.012114541116372,15
4,6,13,20.285714285714285,10.950437795453107,14
4,6,14,19.2,12.190159966136621,15
4,6,15,20.866666666666667,11.463399313010248,15
4,6,16,20.933333333333334,12.383552840456607,15
4,6,17,20.533333333333335,9.855141273660644,15
4,6,18,19.6,12.199531606933581,15
4,6,19,17.8,10.171388442938499,15
4,6,20,15.2,8.072882296393807,15
4,6,21,13.2,5.280692595267622,15
4,6,22,11.933333333333334,4.905778905196061,15
4,6,23,11.2,5.75946426079966,15
