datetime,Year,Month,Day,Hour,Wind Spd (km/h),mu_t,sigma_t,y_t
2003-09-01 03:00:00,2003,9,1,3,19.0,15.866666666666667,8.025554423809226,0.39041954834145115
2003-09-01 04:00:00,2003,9,1,4,20.0,16.333333333333332,8.156212940072711,0.4495550439410156
2003-09-01 05:00:00,2003,9,1,5,20.0,17.066666666666666,7.832776069337164,0.37449472669292866
2003-09-01 06:00:00,2003,9,1,6,22.0,17.0,7.80532362705589,0.6405884289881728
2003-09-01 07:00:00,2003,9,1,7,20.0,16.2,6.720969317846093,0.5653946358466353
2003-09-01 08:00:00,2003,9,1,8,22.0,19.571428571428573,11.23671376621013,0.21612826304024696
2003-09-01 09:00:00,2003,9,1,9,19.0,19.2,10.058400895342587,-0.019883876381643004
2003-09-01 10:00:00,2003,9,1,10,24.0,18.733333333333334,10.354203195298217,0.5086501169938628
2003-09-01 11:00:00,2003,9,1,11,19.0,21.533333333333335,11.096116866895803,-0.2283080976635431
2003-09-01 12:00:00,2003,9,1,12,32.0,24.533333333333335,11.909579977400348,0.6269462634984132
2003-09-01 13:00:00,2003,9,1,13,33.0,23.066666666666666,9.742885071877298,1.01954741948109
2003-09-01 14:00:00,2003,9,1,14,32.0,21.733333333333334,9.376769674243338,1.094904431199558
2003-09-01 15:00:00,2003,9,1,15,35.0,22.8,8.587366135367533,1.4206917240611923
2003-09-01 16:00:00,2003,9,1,16,41.0,24.2,9.886498730230898,1.6992871246348342
2003-09-01 17:00:00,2003,9,1,17,44.0,23.533333333333335,10.12681494609144,2.021036898138048
2003-09-01 18:00:00,2003,9,1,18,41.0,24.866666666666667,10.287764345964348,1.568205957173005
2003-09-01 19:00:00,2003,9,1,19,32.0,21.533333333333335,9.425396290771822,1.1104749703643046
2003-09-01 20:00:00,2003,9,1,20,30.0,17.333333333333332,10.648049228894108,1.189576268326683
2003-09-01 21:00:00,2003,9,1,21,15.0,18.933333333333334,13.306639946532957,-0.29559177592072466
2003-09-01 22:00:00,2003,9,1,22,11.0,19.933333333333334,10.639996419619878,-0.8395992800204799
2003-09-01 23:00:00,2003,9,1,23,15.0,17.133333333333333,9.425396290771824,-0.22633884746278812
2003-09-02 00:00:00,2003,9,2,0,13.0,18.333333333333332,9.93310961716756,-0.5369248441712193
2003-09-02 01:00:00,2003,9,2,1,13.0,18.0,8.366600265340756,-0.5976143046671968
2003-09-02 02:00:00,2003,9,2,2,11.0,19.133333333333333,8.790145998029082,-0.9252785261083241
2003-09-02 03:00:00,2003,9,2,3,13.0,19.666666666666668,8.820970684087088,-0.7557747220148054
2003-09-02 04:00:00,2003,9,2,4,15.0,18.133333333333333,9.179687721631202,-0.34133332509229947
2003-09-02 05:00:00,2003,9,2,5,19.0,18.133333333333333,7.945049372018372,0.10908260302559931
2003-09-02 06:00:00,2003,9,2,6,19.0,18.066666666666666,8.786895003897781,0.10621878751473825
2003-09-02 07:00:00,2003,9,2,7,22.0,17.6,8.131069161819111,0.5411342484529569
2003-09-02 08:00:00,2003,9,2,8,19.0,19.666666666666668,7.41298731635101,-0.0899322551377074
2003-09-02 09:00:00,2003,9,2,9,22.0,22.533333333333335,8.441958698469607,-0.06317649166300943
2003-09-02 10:00:00,2003,9,2,10,33.0,25.8,8.88176301675035,0.8106498660706586
2003-09-02 11:00:00,2003,9,2,11,37.0,27.333333333333332,10.668154658117954,0.9061235964844958
2003-09-02 12:00:00,2003,9,2,12,41.0,26.533333333333335,11.306550987728098,1.2794942226297386
2003-09-02 13:00:00,2003,9,2,13,41.0,24.133333333333333,11.556486531484428,1.4594977998473164
2003-09-02 14:00:00,2003,9,2,14,33.0,23.666666666666668,10.600988273786195,0.8804210600263108
2003-09-02 15:00:00,2003,9,2,15,30.0,24.333333333333332,9.96183192179507,0.5688378112733269
2003-09-02 16:00:00,2003,9,2,16,32.0,23.866666666666667,8.175456882529271,0.9948475602279848
2003-09-02 17:00:00,2003,9,2,17,24.0,22.533333333333335,7.059610133576444,0.20775462651839702
2003-09-02 18:00:00,2003,9,2,18,20.0,20.2,7.222979203308602,-0.02768940548913474
2003-09-02 19:00:00,2003,9,2,19,19.0,14.333333333333334,7.807200583588266,0.5977387946809765
2003-09-02 20:00:00,2003,9,2,20,13.0,11.933333333333334,7.255211591545434,0.14702075235264855
2003-09-02 21:00:00,2003,9,2,21,11.0,13.357142857142858,6.084117316134158,-0.3874256091170484
2003-09-02 22:00:00,2003,9,2,22,11.0,15.0,6.380774695464941,-0.626883127975503
2003-09-02 23:00:00,2003,9,2,23,9.0,14.466666666666667,8.140434058861153,-0.6715448619986062
2003-09-03 00:00:00,2003,9,3,0,11.0,14.866666666666667,6.885457414691039,-0.561570050294207
2003-09-03 01:00:00,2003,9,3,1,11.0,15.4,6.254141484991022,-0.7035338120442788
2003-09-03 02:00:00,2003,9,3,2,15.0,16.2,5.918494016941423,-0.20275428116765062
2003-09-03 03:00:00,2003,9,3,3,15.0,17.333333333333332,5.205308645530838,-0.44826032272585414
2003-09-03 04:00:00,2003,9,3,4,15.0,18.666666666666668,6.831300510639732,-0.5367450401216934
2003-09-03 05:00:00,2003,9,3,5,17.0,17.466666666666665,7.651952754191636,-0.06098661108578217
2003-09-03 06:00:00,2003,9,3,6,15.0,15.8,4.229150539495406,-0.1891632829167276
2003-09-03 07:00:00,2003,9,3,7,17.0,16.066666666666666,4.97804704487135,0.18748985795441675
2003-09-03 08:00:00,2003,9,3,8,17.0,16.333333333333332,6.354600882899915,0.1049108636327818
2003-09-03 09:00:00,2003,9,3,9,22.0,18.333333333333332,9.216961590045873,0.3978172883596034
2003-09-03 10:00:00,2003,9,3,10,17.0,19.4,9.386920992225605,-0.2556748908388295
2003-09-03 11:00:00,2003,9,3,11,19.0,20.2,7.720103626247513,-0.15543832804525184
2003-09-03 12:00:00,2003,9,3,12,20.0,19.666666666666668,9.232447954800245,0.03610454507463771
2003-09-03 13:00:00,2003,9,3,13,20.0,21.2,8.670145821808799,-0.13840597663092716
2003-09-03 14:00:00,2003,9,3,14,15.0,21.533333333333335,10.493989209247811,-0.6225786212526163
2003-09-03 15:00:00,2003,9,3,15,15.0,23.4,10.881176406988354,-0.7719753531984981
2003-09-03 16:00:00,2003,9,3,16,11.0,20.933333333333334,12.109421754902058,-0.8202979080575986
2003-09-03 17:00:00,2003,9,3,17,17.0,21.2,11.384199576606166,-0.36893239368631087
2003-09-03 18:00:00,2003,9,3,18,15.0,18.933333333333334,11.093541664710449,-0.3545606490887955
2003-09-03 19:00:00,2003,9,3,19,15.0,15.333333333333334,8.933617621631441,-0.03731224543640824
2003-09-03 20:00:00,2003,9,3,20,17.0,11.0,4.44007721940573,1.3513278493843524
2003-09-03 21:00:00,2003,9,3,21,17.0,13.357142857142858,4.9862448157543735,0.7305812846066627
2003-09-03 22:00:00,2003,9,3,22,17.0,12.071428571428571,4.921917789365719,1.0013518387527898
2003-09-03 23:00:00,2003,9,3,23,24.0,14.571428571428571,9.353849768651703,1.0079883322661591
2003-09-04 00:00:00,2003,9,4,0,24.0,12.785714285714286,7.148733846241277,1.5687093624533326
2003-09-04 01:00:00,2003,9,4,1,20.0,14.071428571428571,7.119467198239851,0.8327268408564551
2003-09-04 02:00:00,2003,9,4,2,20.0,11.666666666666666,6.9350730418098765,1.2016215666502263
2003-09-04 03:00:00,2003,9,4,3,24.0,13.666666666666666,7.108010236614008,1.4537589268098396
2003-09-04 04:00:00,2003,9,4,4,22.0,13.933333333333334,6.766162308203401,1.1922070886308054
2003-09-04 05:00:00,2003,9,4,5,26.0,15.333333333333334,5.9721576223896395,1.786065830995032
2003-09-04 06:00:00,2003,9,4,6,22.0,16.533333333333335,8.22771159528809,0.6644212796420038
2003-09-04 07:00:00,2003,9,4,7,26.0,16.733333333333334,7.6388730158565235,1.2130934298071485
2003-09-04 08:00:00,2003,9,4,8,32.0,16.6,9.310516327557472,1.6540436059833479
2003-09-04 09:00:00,2003,9,4,9,30.0,19.466666666666665,7.954034615631658,1.324275520832247
2003-09-04 10:00:00,2003,9,4,10,33.0,22.4,10.655649071870618,0.9947775051997985
2003-09-04 11:00:00,2003,9,4,11,28.0,22.733333333333334,10.01047070868917,0.5261157861533081
2003-09-04 12:00:00,2003,9,4,12,26.0,22.533333333333335,10.315499203117792,0.33606387809315985
2003-09-04 13:00:00,2003,9,4,13,22.0,22.6,9.767292357659823,-0.06142951168339527
2003-09-04 14:00:00,2003,9,4,14,26.0,23.4,11.069907729645138,0.23487097304679597
2003-09-04 15:00:00,2003,9,4,15,20.0,24.066666666666666,10.532037292177119,-0.3861234587241031
2003-09-04 16:00:00,2003,9,4,16,13.0,24.066666666666666,10.98353746468301,-1.0075685271936254
2003-09-04 17:00:00,2003,9,4,17,20.0,24.8,7.802929852671642,-0.6151535500933063
2003-09-04 18:00:00,2003,9,4,18,17.0,25.357142857142858,9.524116295425587,-0.8774717357406456
2003-09-04 19:00:00,2003,9,4,19,13.0,20.2,9.37473809157964,-0.7680214561372137
2003-09-04 20:00:00,2003,9,4,20,13.0,19.2,11.091824531093676,-0.5589702562116412
2003-09-04 21:00:00,2003,9,4,21,17.0,17.0,9.133924207511875,0.0
2003-09-04 22:00:00,2003,9,4,22,15.0,17.066666666666666,8.128140418734574,-0.25426069927423994
2003-09-04 23:00:00,2003,9,4,23,9.0,15.466666666666667,9.249453008280055,-0.6991404422377999
2003-09-05 00:00:00,2003,9,5,0,13.0,15.933333333333334,8.362045773840844,-0.35079135090479163
2003-09-05 01:00:00,2003,9,5,1,7.0,17.0,12.264932589646444,-0.8153326507837143
2003-09-05 02:00:00,2003,9,5,2,11.0,16.333333333333332,8.599557020706412,-0.6201869841076099
2003-09-05 03:00:00,2003,9,5,3,22.0,18.8,7.866747376502839,0.406775487612335
2003-09-05 04:00:00,2003,9,5,4,26.0,19.2,9.762903549369199,0.6965141021432464
2003-09-05 05:00:00,2003,9,5,5,22.0,17.0,8.96022958889527,0.5580214156785309
2003-09-05 06:00:00,2003,9,5,6,20.0,16.285714285714285,9.579052236951304,0.38775085701671147
2003-09-05 07:00:00,2003,9,5,7,22.0,14.4,7.189277730461822,1.0571298376466802
2003-09-05 08:00:00,2003,9,5,8,22.0,15.333333333333334,7.575021609272964,0.8800854981727927
2003-09-05 09:00:00,2003,9,5,9,24.0,16.266666666666666,8.875863472415086,0.8712767335107653
2003-09-05 10:00:00,2003,9,5,10,20.0,18.4,8.878545569437115,0.18020969622634248
2003-09-05 11:00:00,2003,9,5,11,20.0,20.733333333333334,7.850993264428092,-0.09340644025972861
2003-09-05 12:00:00,2003,9,5,12,20.0,20.466666666666665,8.331237831770487,-0.056014085312397426
2003-09-05 13:00:00,2003,9,5,13,13.0,18.933333333333334,7.41105994604075,-0.8006052273943797
2003-09-05 14:00:00,2003,9,5,14,6.0,17.866666666666667,9.417814932097471,-1.2600233442922204
2003-09-05 15:00:00,2003,9,5,15,4.0,19.533333333333335,11.287582726586052,-1.3761434763837532
2003-09-05 16:00:00,2003,9,5,16,6.0,20.4,9.612491872558333,-1.498050681437662
2003-09-05 17:00:00,2003,9,5,17,4.0,18.666666666666668,10.237652260627131,-1.4326201255216522
2003-09-05 18:00:00,2003,9,5,18,4.0,16.8,10.115052432601905,-1.2654407958128047
2003-09-05 19:00:00,2003,9,5,19,6.0,15.4,10.608621830513949,-0.886071739588497
2003-09-05 20:00:00,2003,9,5,20,4.0,14.6,9.693886143927449,-1.0934727149276628
2003-09-05 21:00:00,2003,9,5,21,11.0,14.2,8.913873616848226,-0.3589909547238406
2003-09-05 22:00:00,2003,9,5,22,17.0,15.466666666666667,7.259148579223193,0.2112277103298272
2003-09-05 23:00:00,2003,9,5,23,13.0,16.733333333333334,6.088240030309799,-0.6132040318297641
2003-09-06 00:00:00,2003,9,6,0,13.0,16.933333333333334,3.594970031002974,-1.094121313783514
2003-09-06 01:00:00,2003,9,6,1,15.0,17.8,2.980891525318271,-0.9393163005826063
2003-09-06 02:00:00,2003,9,6,2,19.0,16.466666666666665,4.257206774847743,0.5950693652703628
2003-09-06 03:00:00,2003,9,6,3,19.0,17.0,5.237229365663817,0.3818813079129867
2003-09-06 04:00:00,2003,9,6,4,11.0,16.666666666666668,5.924123403106834,-0.9565409565396382
2003-09-06 05:00:00,2003,9,6,5,11.0,17.066666666666666,5.391351098441527,-1.125259059537108
2003-09-06 06:00:00,2003,9,6,6,15.0,18.133333333333333,5.8659631612825365,-0.534154962652077
2003-09-06 07:00:00,2003,9,6,7,13.0,15.533333333333333,4.1895561760622035,-0.60467821097805
2003-09-06 08:00:00,2003,9,6,8,11.0,17.533333333333335,7.1700435012295305,-0.9111985627720374
2003-09-06 09:00:00,2003,9,6,9,9.0,18.333333333333332,8.632717389316618,-1.0811582161700044
2003-09-06 10:00:00,2003,9,6,10,9.0,17.733333333333334,11.467137310385628,-0.76159664761524
2003-09-06 11:00:00,2003,9,6,11,6.0,17.533333333333335,12.426162875543028,-0.9281492162019745
