Year,Month,Day,Time (LST),Wind Spd (km/h)
1994,9,13,13:00,22
1994,9,13,14:00,20
1994,9,13,15:00,11
1994,9,13,16:00,20
1994,9,13,17:00,22
1994,9,13,18:00,19
1994,9,13,19:00,15
1994,9,13,20:00,13
1994,9,13,21:00,19
1994,9,13,22:00,20
1994,9,13,23:00,20
1994,9,14,00:00,20
1994,9,14,01:00,20
1994,9,14,02:00,20
1994,9,14,03:00,22
1994,9,14,04:00,26
1994,9,14,05:00,13
1994,9,14,06:00,15
1994,9,14,07:00,20
1994,9,14,08:00,19
1994,9,14,09:00,19
1994,9,14,10:00,26
1994,9,14,11:00,22
1994,9,14,12:00,22
1994,9,14,13:00,26
1994,9,14,14:00,13
1994,9,14,15:00,22
1994,9,14,16:00,28
1994,9,14,17:00,26
1994,9,14,18:00,26
1994,9,14,19:00,20
1994,9,14,20:00,11
1994,9,14,21:00,13
1994,9,14,22:00,13
1994,9,14,23:00,15
1994,9,15,00:00,7
1994,9,15,01:00,7
1994,9,15,02:00,11
1994,9,15,03:00,13
1994,9,15,04:00,11
1994,9,15,05:00,17
1994,9,15,06:00,22
1994,9,15,07:00,19
1994,9,15,08:00,22
1994,9,15,09:00,22
1994,9,15,10:00,19
1994,9,15,11:00,20
1994,9,15,12:00,22
1994,9,15,13:00,28
1994,9,15,14:00,30
1994,9,15,15:00,30
1994,9,15,16:00,26
1994,9,15,17:00,22
1994,9,15,18:00,19
1994,9,15,19:00,13
1994,9,15,20:00,7
1994,9,15,21:00,0
1994,9,15,22:00,0
1994,9,15,23:00,7
1994,9,16,00:00,15
1994,9,16,01:00,17
1994,9,16,02:00,13
1994,9,16,03:00,17
1994,9,16,04:00,15
1994,9,16,05:00,17
1994,9,16,06:00,17
1994,9,16,07:00,19
1994,9,16,08:00,15
1994,9,16,09:00,19
1994,9,16,10:00,11
1994,9,16,11:00,11
1994,9,16,12:00,9
1994,9,16,13:00,13
1994,9,16,14:00,19
1994,9,16,15:00,13
1994,9,16,16:00,9
1994,9,16,17:00,11
1994,9,16,18:00,7
1994,9,16,19:00,0
1994,9,16,20:00,0
1994,9,16,21:00,0
1994,9,16,22:00,9
1994,9,16,23:00,11
1994,9,17,00:00,13
1994,9,17,01:00,11
1994,9,17,02:00,13
1994,9,17,03:00,17
1994,9,17,04:00,13
1994,9,17,05:00,17
1994,9,17,06:00,17
1994,9,17,07:00,17
1994,9,17,08:00,15
1994,9,17,09:00,13
1994,9,17,10:00,13
1994,9,17,11:00,19
1994,9,17,12:00,20
1994,9,17,13:00,22
1994,9,17,14:00,26
1994,9,17,15:00,26
1994,9,17,16:00,28
1994,9,17,17:00,26
1994,9,17,18:00,28
1994,9,17,19:00,20
1994,9,17,20:00,19
1994,9,17,21:00,15
1994,9,17,22:00,19
1994,9,17,23:00,20
1994,9,18,00:00,17
1994,9,18,01:00,20
1994,9,18,02:00,17
1994,9,18,03:00,17
1994,9,18,04:00,19
1994,9,18,05:00,17
1994,9,18,06:00,17
1994,9,18,07:00,19
1994,9,18,08:00,20
1994,9,18,09:00,20
1994,9,18,10:00,20
1994,9,18,11:00,20
1994,9,18,12:00,20
1994,9,18,13:00,19
1994,9,18,14:00,19
1994,9,18,15:00,9
1994,9,18,16:00,7
1994,9,18,17:00,7
1994,9,18,18:00,15
1994,9,18,19:00,11
1994,9,18,20:00,7
1994,9,18,21:00,7
1994,9,18,22:00,17
1994,9,18,23:00,20
1994,9,19,00:00,17
1994,9,19,01:00,7
1994,9,19,02:00,17
1994,9,19,03:00,15
1994,9,19,04:00,17
1994,9,19,05:00,13
1994,9,19,06:00,13
1994,9,19,07:00,13
1994,9,19,08:00,15
1994,9,19,09:00,15
1994,9,19,10:00,13
1994,9,19,11:00,15
1994,9,19,12:00,15
1994,9,19,13:00,22
1994,9,19,14:00,6
1994,9,19,15:00,13
1994,9,19,16:00,15
1994,9,19,17:00,7
1994,9,19,18:00,13
1994,9,19,19:00,6
1994,9,19,20:00,6
1994,9,19,21:00,7
1994,9,19,22:00,4
1994,9,19,23:00,6
1994,9,20,00:00,6
1994,9,20,01:00,9
1994,9,20,02:00,13
1994,9,20,03:00,15
1994,9,20,04:00,15
1994,9,20,05:00,19
1994,9,20,06:00,19
1994,9,20,07:00,19
1994,9,20,08:00,11
1994,9,20,09:00,11
1994,9,20,10:00,19
1994,9,20,11:00,37
1994,9,20,12:00,30
1994,9,20,13:00,22
1994,9,20,14:00,22
1994,9,20,15:00,24
1994,9,20,16:00,22
1994,9,20,17:00,33
1994,9,20,18:00,37
1994,9,20,19:00,24
1994,9,20,20:00,20
1994,9,20,21:00,32
1994,9,20,22:00,22
1994,9,20,23:00,22
1994,9,21,00:00,19
1994,9,21,01:00,9
1994,9,21,02:00,15
1994,9,21,03:00,19
1994,9,21,04:00,17
1994,9,21,05:00,19
1994,9,21,06:00,17
1994,9,21,07:00,11
1994,9,21,08:00,15
1994,9,21,09:00,26
1994,9,21,10:00,30
1994,9,21,11:00,26
1994,9,21,12:00,30
1994,9,21,13:00,26
1994,9,21,14:00,30
1994,9,21,15:00,35
1994,9,21,16:00,35
1994,9,21,17:00,33
1994,9,21,18:00,26
1994,9,21,19:00,19
1994,9,21,20:00,15
1994,9,21,21:00,15
1994,9,21,22:00,15
1994,9,21,23:00,17
1994,9,22,00:00,19
1994,9,22,01:00,22
1994,9,22,02:00,24
1994,9,22,03:00,22
1994,9,22,04:00,22
1994,9,22,05:00,20
1994,9,22,06:00,19
1994,9,22,07:00,19
1994,9,22,08:00,22
1994,9,22,09:00,19
1994,9,22,10:00,15
1994,9,22,11:00,19
1994,9,22,12:00,22
1994,9,22,13:00,26
1994,9,22,14:00,22
1994,9,22,15:00,20
1994,9,22,16:00,22
1994,9,22,17:00,19
1994,9,22,18:00,17
1994,9,22,19:00,15
1994,9,22,20:00,17
1994,9,22,21:00,19
1994,9,22,22:00,20
1994,9,22,23:00,20
1994,9,23,00:00,22
1994,9,23,01:00,24
1994,9,23,02:00,20
1994,9,23,03:00,20
1994,9,23,04:00,19
1994,9,23,05:00,17
1994,9,23,06:00,15
1994,9,23,07:00,15
1994,9,23,08:00,9
1994,9,23,09:00,11
1994,9,23,10:00,15
1994,9,23,11:00,15
1994,9,23,12:00,11
1994,9,23,13:00,15
1994,9,23,14:00,17
1994,9,23,15:00,20
1994,9,23,16:00,19
1994,9,23,17:00,17
1994,9,23,18:00,11
1994,9,23,19:00,7
1994,9,23,20:00,4
1994,9,23,21:00,0
1994,9,23,22:00,6
1994,9,23,23:00,9
1994,9,24,00:00,9
1994,9,24,01:00,7
1994,9,24,02:00,15
1994,9,24,03:00,7
1994,9,24,04:00,7
1994,9,24,05:00,11
1994,9,24,06:00,7
1994,9,24,07:00,13
1994,9,24,08:00,11
1994,9,24,09:00,11
1994,9,24,10:00,19
1994,9,24,11:00,22
1994,9,24,12:00,19
1994,9,24,13:00,22
1994,9,24,14:00,22
1994,9,24,15:00,20
1994,9,24,16:00,19
1994,9,24,17:00,20
1994,9,24,18:00,20
1994,9,24,19:00,17
1994,9,24,20:00,15
1994,9,24,21:00,19
1994,9,24,22:00,24
1994,9,24,23:00,22
1994,9,25,00:00,17
1994,9,25,01:00,20
1994,9,25,02:00,24
1994,9,25,03:00,22
1994,9,25,04:00,20
1994,9,25,05:00,20
1994,9,25,06:00,20
1994,9,25,07:00,20
1994,9,25,08:00,22
1994,9,25,09:00,28
1994,9,25,10:00,37
1994,9,25,11:00,41
1994,9,25,12:00,41
1994,9,25,13:00,41
1994,9,25,14:00,37
1994,9,25,15:00,33
1994,9,25,16:00,33
1994,9,25,17:00,26
1994,9,25,18:00,22
1994,9,25,19:00,22
1994,9,25,20:00,28
1994,9,25,21:00,26
1994,9,25,22:00,30
1994,9,25,23:00,24
1994,9,26,00:00,28
1994,9,26,01:00,22
1994,9,26,02:00,19
1994,9,26,03:00,19
1994,9,26,04:00,17
1994,9,26,05:00,15
1994,9,26,06:00,13
1994,9,26,07:00,15
1994,9,26,08:00,13
1994,9,26,09:00,11
1994,9,26,10:00,11
1994,9,26,11:00,13
1994,9,26,12:00,30
1994,9,26,13:00,24
1994,9,26,14:00,15
1994,9,26,15:00,15
1994,9,26,16:00,11
1994,9,26,17:00,15
1994,9,26,18:00,11
1994,9,26,19:00,15
1994,9,26,20:00,11
1994,9,26,21:00,15
1994,9,26,22:00,7
1994,9,26,23:00,11
1994,9,27,00:00,13
1994,9,27,01:00,22
1994,9,27,02:00,22
1994,9,27,03:00,20
1994,9,27,04:00,15
1994,9,27,05:00,7
1994,9,27,06:00,4
1994,9,27,07:00,6
1994,9,27,08:00,0
1994,9,27,09:00,0
1994,9,27,10:00,6
1994,9,27,11:00,9
1994,9,27,12:00,7
1994,9,27,13:00,9
1994,9,27,14:00,9
1994,9,27,15:00,11
1994,9,27,16:00,19
1994,9,27,17:00,19
1994,9,27,18:00,19
1994,9,27,19:00,11
1994,9,27,20:00,15
1994,9,27,21:00,22
1994,9,27,22:00,22
1994,9,27,23:00,13
1994,9,28,00:00,24
1994,9,28,01:00,24
1994,9,28,02:00,15
1994,9,28,03:00,0
1994,9,28,04:00,7
1994,9,28,05:00,9
1994,9,28,06:00,15
1994,9,28,07:00,7
1994,9,28,08:00,11
1994,9,28,09:00,4
1994,9,28,10:00,11
1994,9,28,11:00,11
1994,9,28,12:00,19
1994,9,28,13:00,19
1994,9,28,14:00,26
1994,9,28,15:00,22
1994,9,28,16:00,20
1994,9,28,17:00,26
1994,9,28,18:00,22
