step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability,single_wtg_power_MW,wind_farm_power_MW_raw,wind_farm_power_MW
34,-1.6,3.841500803261221,3.841500803261221,0.009797146097057613,0.0,0.0,0.0
35,-1.5,4.806338020408155,4.806338020408155,0.011849967363014918,0.0,0.0,0.0
36,-1.4,5.7711752375550915,5.7711752375550915,0.014200789246892609,0.0,0.0,0.0
37,-1.3,6.736012454702024,6.736012454702024,0.016751166135287467,0.0,0.0,0.0
38,-1.2000000000000002,7.700849671848957,7.700849671848957,0.01957610239774628,0.0,0.0,0.0
39,-1.1,8.665686888995893,8.665686888995893,0.02265904455849391,0.0,0.0,0.0
40,-1.0,9.630524106142827,9.630524106142827,0.025730532475084507,0.0,0.0,0.0
41,-0.9,10.595361323289762,10.595361323289762,0.028966223260571276,0.0,0.0,0.0
42,-0.8,11.560198540436694,11.560198540436694,0.0319464958175456,0.0,0.0,0.0
43,-0.7000000000000001,12.52503575758363,12.52503575758363,0.03472888774456388,0.0,0.0,0.0
44,-0.6000000000000001,13.489872974730563,13.489872974730563,0.03728912061048919,0.0,0.0,0.0
45,-0.5,14.4547101918775,14.4547101918775,0.03927329251943872,0.0004063137043925913,0.0008126274087851826,0.0008
46,-0.4,15.419547409024432,15.419547409024432,0.04097917576552886,0.008911308871591944,0.01782261774318389,0.0178
47,-0.3,16.384384626171368,16.384384626171368,0.04208905777577843,0.019951512041568253,0.03990302408313651,0.0399
48,-0.2,17.3492218433183,17.3492218433183,0.04255499055139032,0.033526923214321686,0.06705384642864337,0.0671
49,-0.1,18.314059060465237,18.314059060465237,0.042519295930063566,0.04963754238985199,0.09927508477970398,0.0993
50,0.0,19.27889627761217,19.27889627761217,0.0418836805142645,0.06828336956815925,0.1365667391363185,0.1366
51,0.1,20.243733494759102,20.243733494759102,0.0408170278108668,0.08946440474924355,0.1789288094984871,0.1789
52,0.2,21.208570711906038,21.208570711906038,0.039376418770819654,0.11318064793310481,0.22636129586620962,0.2264
53,0.3,22.17340792905297,22.17340792905297,0.03752615877279619,0.13943209911974302,0.27886419823948605,0.2789
54,0.4,23.138245146199907,23.138245146199907,0.03551945891520548,0.16821875830915836,0.3364375166183167,0.3364
55,0.5,24.10308236334684,24.10308236334684,0.033168751193229734,0.19954062550135065,0.3990812510027013,0.3991
56,0.6000000000000001,25.067919580493776,25.067919580493776,0.030752095945924464,0.23339770069632,0.46679540139264,0.4668
57,0.7000000000000001,26.032756797640708,26.032756797640708,0.02832912374004748,0.26978998389406594,0.5395799677881319,0.5396
58,0.8,26.997594014787644,26.997594014787644,0.02589774160739736,0.30871747509458936,0.6174349501891787,0.6174
59,0.9,27.962431231934577,27.962431231934577,0.023533258349259244,0.35018017429788956,0.7003603485957791,0.7004
60,1.0,28.92726844908151,28.92726844908151,0.02118723126526131,0.39417808150396655,0.7883561630079331,0.7884
61,1.1,29.892105666228446,29.892105666228446,0.01898158526663023,0.440711196712821,0.881422393425642,0.8814
62,1.2000000000000002,30.856942883375382,30.856942883375382,0.016855243735850862,0.48977951992445223,0.9795590398489045,0.9796
63,1.3,31.821780100522314,31.821780100522314,0.014959166761199063,0.5413830511388602,1.0827661022777204,1.0828
64,1.4,32.78661731766925,32.78661731766925,0.013121807058090048,0.5955217903560455,1.191043580712091,1.191
65,1.5,33.75145453481618,33.75145453481618,0.011444730665245376,0.6521957375760074,1.3043914751520147,1.3044
