wind_penetration_label,peak_load_pu,step_number,LOLE_hours_per_year,benchmark_100step_LOLE,absolute_error_vs_100step,relative_error_vs_100step_percent
15pct,1.0,6,0.7285204974464264,0.7438232743001114,-0.015302776853684974,-2.057313528954021
15pct,1.0,5,0.7479944403774766,0.7438232743001114,0.004171166077365229,0.560773804945808
15pct,1.0,2,0.8116323326189842,0.7438232743001114,0.06780905831887274,9.116286174653057
15pct,1.02,100,1.002784231148302,1.002784231148302,0.0,0.0
15pct,1.02,10,1.0224525088179772,1.002784231148302,0.01966827766967527,1.9613668682397267
15pct,1.02,6,1.0327551916044813,1.002784231148302,0.029970960456179307,2.9887746062639167
15pct,1.02,5,1.068736946504494,1.002784231148302,0.06595271535619207,6.576959759395969
15pct,1.02,2,1.1912502523847277,1.002784231148302,0.18846602123642575,18.794274519116712
15pct,1.05,100,1.631922825383764,1.631922825383764,0.0,0.0
15pct,1.05,10,1.6178110078926453,1.631922825383764,-0.014111817491118783,-0.8647355911453862
15pct,1.05,6,1.6009808258988532,1.631922825383764,-0.030941999484910943,-1.896045511688618
15pct,1.05,5,1.6417308433390583,1.631922825383764,0.00980801795529418,0.6010099131365308
15pct,1.05,2,1.791039353351764,1.631922825383764,0.1591165279679998,9.750248326270077
1pct_optional,0.92,100,0.23148645078134178,0.23148645078134178,0.0,0.0
1pct_optional,0.92,10,0.23078307270004736,0.23148645078134178,-0.0007033780812944201,-0.30385280819689064
1pct_optional,0.92,6,0.23078254826774666,0.23148645078134178,-0.0007039025135951171,-0.3040793580873602
1pct_optional,0.92,5,0.23059475541620278,0.23148645078134178,-0.0008916953651390003,-0.3852041284184191
1pct_optional,0.92,2,0.23726649935453492,0.23148645078134178,0.005780048573193142,2.4969273811420085
1pct_optional,0.95,100,0.41017960424387184,0.41017960424387184,0.0,0.0
1pct_optional,0.95,10,0.40833050224077894,0.41017960424387184,-0.0018491020030929062,-0.45080301018417396
1pct_optional,0.95,6,0.413089802764543,0.41017960424387184,0.002910198520671148,0.7094937170354507
1pct_optional,0.95,5,0.4084124575272039,0.41017960424387184,-0.0017671467166679444,-0.43082266850530415
1pct_optional,0.95,2,0.41912287056483366,0.41017960424387184,0.008943266320961818,2.180329355343716
1pct_optional,0.98,100,0.6900565229275865,0.6900565229275865,0.0,0.0
1pct_optional,0.98,10,0.6790921268812611,0.6900565229275865,-0.010964396046325375,-1.5889127458441492
1pct_optional,0.98,6,0.6792006461156131,0.6900565229275865,-0.010855876811973308,-1.5731866088182038
1pct_optional,0.98,5,0.676700297416907,0.6900565229275865,-0.013356225510679498,-1.9355263035577566
1pct_optional,0.98,2,0.6878620595944208,0.6900565229275865,-0.0021944633331656416,-0.3180121135375349
1pct_optional,1.0,100,1.0058913970698677,1.0058913970698677,0.0,0.0
1pct_optional,1.0,10,1.0083639979693249,1.0058913970698677,0.0024726008994571114,0.24581191435374886
1pct_optional,1.0,6,1.0205673449045638,1.0058913970698677,0.014675947834696057,1.4589992396243434
1pct_optional,1.0,5,1.0114325859484259,1.0058913970698677,0.005541188878558145,0.5508734734882381
1pct_optional,1.0,2,1.0375798495635316,1.0058913970698677,0.03168845249366381,3.150285665626662
1pct_optional,1.02,100,1.3406075019117538,1.3406075019117538,0.0,0.0
1pct_optional,1.02,10,1.3488837011172539,1.3406075019117538,0.008276199205500046,0.6173469262030752
1pct_optional,1.02,6,1.3320399994739378,1.3406075019117538,-0.00856750243781601,-0.6390761222504311
1pct_optional,1.02,5,1.339598234413875,1.3406075019117538,-0.0010092674978787741,-0.07528433911040502
