step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability
42,-0.8,11.560198540436694,11.560198540436694,0.0319464958175456
43,-0.7000000000000001,12.52503575758363,12.52503575758363,0.03472888774456388
44,-0.6000000000000001,13.489872974730563,13.489872974730563,0.03728912061048919
45,-0.5,14.4547101918775,14.4547101918775,0.03927329251943872
46,-0.4,15.419547409024432,15.419547409024432,0.04097917576552886
47,-0.3,16.384384626171368,16.384384626171368,0.04208905777577843
48,-0.2,17.3492218433183,17.3492218433183,0.04255499055139032
49,-0.1,18.314059060465237,18.314059060465237,0.042519295930063566
50,0.0,19.27889627761217,19.27889627761217,0.0418836805142645
51,0.1,20.243733494759102,20.243733494759102,0.0408170278108668
52,0.2,21.208570711906038,21.208570711906038,0.039376418770819654
53,0.3,22.17340792905297,22.17340792905297,0.03752615877279619
54,0.4,23.138245146199907,23.138245146199907,0.03551945891520548
55,0.5,24.10308236334684,24.10308236334684,0.033168751193229734
56,0.6000000000000001,25.067919580493776,25.067919580493776,0.030752095945924464
57,0.7000000000000001,26.032756797640708,26.032756797640708,0.02832912374004748
58,0.8,26.997594014787644,26.997594014787644,0.02589774160739736
59,0.9,27.962431231934577,27.962431231934577,0.023533258349259244
60,1.0,28.92726844908151,28.92726844908151,0.02118723126526131
61,1.1,29.892105666228446,29.892105666228446,0.01898158526663023
62,1.2000000000000002,30.856942883375382,30.856942883375382,0.016855243735850862
63,1.3,31.821780100522314,31.821780100522314,0.014959166761199063
64,1.4,32.78661731766925,32.78661731766925,0.013121807058090048
65,1.5,33.75145453481618,33.75145453481618,0.011444730665245376
66,1.6,34.71629175196312,34.71629175196312,0.00995054163924087
67,1.7000000000000002,35.68112896911005,35.68112896911005,0.008669302614242817
68,1.8,36.645966186256985,36.645966186256985,0.00743357613413475
69,1.9,37.61080340340392,37.61080340340392,0.006411484626444574
70,2.0,38.57564062055086,38.57564062055086,0.005460782361407714
71,2.1,39.54047783769779,39.54047783769779,0.004673445777986515
72,2.2,40.50531505484472,40.50531505484472,0.0039312792537495355
73,2.3000000000000003,41.47015227199166,41.47015227199166,0.003346009236687236
74,2.4000000000000004,42.434989489138594,42.434989489138594,0.002802446367784951
75,2.5,43.39982670628552,43.39982670628552,0.0023459890300306153
76,2.6,44.36466392343246,44.36466392343246,0.0019613395285699026
77,2.7,45.329501140579396,45.329501140579396,0.001643855279392329
78,2.8000000000000003,46.29433835772633,46.29433835772633,0.0013653002387620048
79,2.9000000000000004,47.25917557487327,47.25917557487327,0.00112597883841708
80,3.0,48.2240127920202,48.2240127920202,0.0009223901133661329
81,3.1,49.188850009167126,49.188850009167126,0.0007705167298749249
82,3.2,50.15368722631406,50.15368722631406,0.0006257213843012986
83,3.3000000000000003,51.118524443461,51.118524443461,0.0005206924345554339
84,3.4000000000000004,52.083361660607935,52.083361660607935,0.0004204202307219089
85,3.5,53.048198877754864,53.048198877754864,0.0003351032360370406
86,3.6,54.0130360949018,54.0130360949018,0.00028266486909864566
87,3.7,54.977873312048736,54.977873312048736,0.00022265376266782563
88,3.8,55.942710529195665,55.942710529195665,0.00017752175745092472
89,3.9,56.9075477463426,56.9075477463426,0.00014833436453236715
90,4.0,57.87238496348954,57.87238496348954,0.00011625487009908693
91,4.1000000000000005,58.83722218063647,58.83722218063647,9.665707694006103e-05
92,4.2,59.80205939778341,59.80205939778341,7.671679807526104e-05
93,4.3,60.76689661493034,60.76689661493034,6.278904604374045e-05
94,4.4,61.731733832077275,61.731733832077275,5.0421506671488535e-05
95,4.5,62.69657104922421,62.69657104922421,3.988055772959999e-05
96,4.6000000000000005,63.66140826637115,63.66140826637115,3.1204253185374035e-05
