Month,Day,Hour,mu_t,sigma_t,count
4,8,6,12.133333333333333,8.331237831770487,15
4,8,7,11.4,8.765190895158613,15
4,8,8,12.8,9.213344359444854,15
4,8,9,14.8,13.044977139551781,15
4,8,10,14.4,12.810709805248331,15
4,8,11,16.266666666666666,11.429702324999337,15
4,8,12,16.066666666666666,11.022487836021325,15
4,8,13,16.666666666666668,11.36200854141723,15
4,8,14,17.6,10.635520002063167,15
4,8,15,18.4,13.731090894129903,15
4,8,16,18.733333333333334,10.780052124619983,15
4,8,17,17.733333333333334,9.580237595224471,15
4,8,18,16.333333333333332,9.446591726019243,15
4,8,19,14.8,9.18228107358328,15
4,8,20,13.133333333333333,8.959166627910582,15
4,8,21,12.066666666666666,7.741047056038965,15
4,8,22,11.933333333333334,8.198141485088179,15
4,8,23,12.2,8.037412518964047,15
4,9,0,11.066666666666666,6.808258290662962,15
4,9,1,11.666666666666666,6.799859942535232,15
4,9,2,11.266666666666667,7.2453597629957684,15
4,9,3,10.6,7.734893110352038,15
4,9,4,11.266666666666667,7.095941160436784,15
4,9,5,10.266666666666667,7.085867893880312,15
4,9,6,10.266666666666667,8.53954387094589,15
4,9,7,10.733333333333333,9.153193561864207,15
4,9,8,11.866666666666667,9.664860258147751,15
4,9,9,14.733333333333333,10.61983768147858,15
4,9,10,14.8,11.570899458802428,15
4,9,11,15.133333333333333,9.833373688375627,15
4,9,12,16.866666666666667,9.804275063655115,15
4,9,13,19.066666666666666,9.284908389937073,15
4,9,14,18.466666666666665,10.40512694140089,15
4,9,15,17.933333333333334,9.542885657214315,15
4,9,16,17.733333333333334,12.261826167108266,15
4,9,17,18.0,11.282097069504157,15
4,9,18,17.6,10.140442368485283,15
4,9,19,17.333333333333332,9.655987533033338,15
4,9,20,14.733333333333333,7.704049646282204,15
4,9,21,15.133333333333333,7.2984016515033385,15
4,9,22,16.6,7.917431040793112,15
4,9,23,16.0,9.636241116594315,15
4,10,0,14.733333333333333,8.250252521387855,15
4,10,1,16.933333333333334,8.21554855717122,15
4,10,2,15.866666666666667,9.272591459832165,15
4,10,3,15.357142857142858,9.220438358152151,14
4,10,4,14.533333333333333,8.700301034748056,15
