Month,Day,Hour,mu_t,sigma_t,count
3,30,21,13.333333333333334,8.08584889674253,15
3,30,22,12.733333333333333,8.786895003897783,15
3,30,23,11.133333333333333,8.348367391007544,15
3,31,0,11.866666666666667,9.334013580652726,15
3,31,1,12.466666666666667,6.8542652692285255,15
3,31,2,13.466666666666667,8.69208726097368,15
3,31,3,13.066666666666666,7.391758602531283,15
3,31,4,15.066666666666666,7.468664698656139,15
3,31,5,15.2,7.866747376502838,15
3,31,6,13.6,8.789604249176572,15
3,31,7,15.642857142857142,9.604543338819015,14
3,31,8,17.466666666666665,10.541527855287844,15
3,31,9,17.866666666666667,10.541527855287844,15
3,31,10,19.733333333333334,10.222291235101753,15
3,31,11,20.533333333333335,8.492573786774509,15
3,31,12,21.933333333333334,7.64821796860145,15
3,31,13,23.666666666666668,8.164965809277259,15
3,31,14,22.666666666666668,7.925245977856069,15
3,31,15,21.933333333333334,7.69477249888025,15
3,31,16,22.266666666666666,8.737984948051865,15
3,31,17,19.933333333333334,7.323803331473015,15
3,31,18,17.933333333333334,10.03185402794993,15
3,31,19,16.733333333333334,10.872420328957293,15
3,31,20,15.933333333333334,11.88316135586502,15
3,31,21,15.133333333333333,8.305477251847263,15
3,31,22,15.933333333333334,9.129752513205434,15
3,31,23,14.857142857142858,10.545557889879094,14
4,1,0,11.533333333333333,10.453069724567357,15
4,1,1,13.666666666666666,11.4184478971948,15
4,1,2,12.5,11.366279412908504,14
4,1,3,12.5,10.00576756752747,14
4,1,4,15.642857142857142,8.36298753075481,14
4,1,5,15.928571428571429,8.052369796566682,14
4,1,6,14.214285714285714,9.69677639875606,14
4,1,7,16.466666666666665,8.500980335624043,15
4,1,8,18.0,8.610624666239792,15
4,1,9,17.133333333333333,8.166715257387029,15
4,1,10,19.733333333333334,10.660117036791634,15
4,1,11,19.733333333333334,9.989041614737241,15
4,1,12,21.2,10.001428469402331,15
4,1,13,19.0,10.274795792200864,15
4,1,14,19.066666666666666,7.382089006185044,15
4,1,15,21.733333333333334,9.346249566129773,15
4,1,16,18.933333333333334,8.859753839426812,15
4,1,17,18.066666666666666,8.267549876014112,15
4,1,18,16.4,9.537894346837176,15
4,1,19,14.0,8.026741021645798,15
4,1,20,15.133333333333333,7.453346963101944,15
4,1,21,12.733333333333333,7.294485849566357,15
4,1,22,11.0,6.48074069840786,15
4,1,23,12.333333333333334,7.461009761866464,15
4,2,0,13.8,7.673702775434705,15
4,2,1,14.466666666666667,8.484158908280323,15
4,2,2,14.133333333333333,7.927048330753082,15
4,2,3,13.0,8.577378887016042,15
4,2,4,12.6,5.151976042535248,15
4,2,5,13.0,8.451542547285166,15
4,2,6,15.2,7.2722564782682335,15
4,2,7,16.6,8.235810307952184,15
4,2,8,17.8,6.189853448530565,15
4,2,9,18.714285714285715,8.147001066259067,14
4,2,10,18.4,9.671755639120395,15
4,2,11,17.666666666666668,8.243323416704026,15
4,2,12,17.8,6.570496828355415,15
4,2,13,18.4,7.863114613724731,15
4,2,14,20.266666666666666,9.223159256278008,15
4,2,15,20.133333333333333,6.034030478007533,15
4,2,16,19.933333333333334,8.048661527294607,15
4,2,17,16.8,9.18228107358328,15
4,2,18,15.133333333333333,9.125057077447059,15
4,2,19,15.6,10.702469674932845,15
4,2,20,16.333333333333332,11.610750355146036,15
4,2,21,14.0,8.744228866031497,14
4,2,22,15.466666666666667,8.601218075421201,15
4,2,23,12.8,8.010707120562364,15
4,3,0,12.666666666666666,9.099973835650509,15
4,3,1,10.733333333333333,7.685484153042452,15
4,3,2,10.4,7.60450994006658,15
4,3,3,11.266666666666667,7.055561804771636,15
4,3,4,12.4,6.587867636800241,15
4,3,5,12.333333333333334,8.901578244226988,15
4,3,6,12.785714285714286,7.297824453783591,14
4,3,7,15.4,7.19920630545975,15
4,3,8,14.466666666666667,7.909006318898787,15
4,3,9,16.5,7.35631596761481,14
4,3,10,17.866666666666667,7.049484952479727,15
4,3,11,17.357142857142858,8.526945010306518,14
4,3,12,15.466666666666667,6.534159325822879,15
4,3,13,16.0,6.524678426668135,15
4,3,14,15.466666666666667,7.936053955269734,15
4,3,15,17.071428571428573,8.999694744518033,14
4,3,16,17.666666666666668,8.225975119502044,15
4,3,17,15.666666666666666,8.059303999253345,15
4,3,18,15.4,7.228910212275628,15
4,3,19,16.066666666666666,7.657551517168868,15
4,3,20,14.533333333333333,6.7492503992947945,15
4,3,21,16.333333333333332,8.989411761039975,15
4,3,22,15.4,8.550689195280444,15
4,3,23,16.866666666666667,8.716705362747579,15
4,4,0,17.333333333333332,9.58172864411865,15
4,4,1,15.071428571428571,8.315548788164955,14
4,4,2,15.666666666666666,9.491851141649773,15
4,4,3,14.933333333333334,10.159208818088338,15
4,4,4,17.933333333333334,10.10987259116176,15
4,4,5,20.2,10.96227296555913,15
4,4,6,21.533333333333335,11.593512142984274,15
4,4,7,21.533333333333335,12.625748445518935,15
4,4,8,18.785714285714285,9.406859783637204,14
4,4,9,21.933333333333334,12.98057156273321,15
4,4,10,22.933333333333334,8.963948959715296,15
4,4,11,23.133333333333333,11.45716660726668,15
4,4,12,22.133333333333333,10.105632564258881,15
4,4,13,22.8,11.827329127309948,15
4,4,14,21.733333333333334,11.65250841582843,15
4,4,15,21.8,11.098262412262047,15
4,4,16,23.4,13.83473888441701,15
4,4,17,23.4,12.732410836690974,15
4,4,18,22.2,12.8296531519757,15
4,4,19,21.0,13.421730780449186,15
4,4,20,19.266666666666666,12.475499799130104,15
4,4,21,18.466666666666665,13.558690764159174,15
4,4,22,19.533333333333335,13.558690764159174,15
4,4,23,17.866666666666667,14.090861611426782,15
4,5,0,17.666666666666668,12.770874601813224,15
4,5,1,17.4,14.044826195334096,15
4,5,2,17.4,15.550838287004703,15
4,5,3,18.933333333333334,13.765726936680029,15
4,5,4,18.8,11.863509478348181,15
4,5,5,18.533333333333335,11.74044697778135,15
4,5,6,15.8,10.469001862641921,15
4,5,7,15.066666666666666,9.437513796899408,15
4,5,8,18.066666666666666,11.683117653059824,15
4,5,9,19.2,9.929753269845127,15
4,5,10,19.4,10.808726633076231,15
4,5,11,20.0,12.432675841162617,15
4,5,12,21.133333333333333,11.08967774017588,15
4,5,13,22.466666666666665,8.114067736844156,15
4,5,14,22.2,9.944129639426182,15
4,5,15,22.333333333333332,9.044861735235305,15
4,5,16,21.866666666666667,10.140911952980128,15
4,5,17,21.285714285714285,8.597213962214033,14
4,5,18,21.8,6.961116495013057,15
4,5,19,19.5,7.978336051699387,14
4,5,20,17.666666666666668,8.431799220524532,15
4,5,21,17.4,9.140178178944717,15
4,5,22,17.071428571428573,10.01125739981121,14
4,5,23,18.357142857142858,8.55396572768033,14
4,6,0,18.214285714285715,8.568085428617522,14
4,6,1,18.928571428571427,7.917500438068393,14
4,6,2,19.5,7.891085525403382,14
4,6,3,17.571428571428573,7.910210399946931,14
4,6,4,18.571428571428573,8.518886580500327,14
4,6,5,17.071428571428573,8.109484340186883,14
4,6,6,14.928571428571429,8.352468872359612,14
4,6,7,13.866666666666667,7.385958363840196,15
4,6,8,14.533333333333333,8.975097824112057,15
4,6,9,16.066666666666666,8.258905727124134,15
4,6,10,16.866666666666667,6.653319973266479,15
4,6,11,19.714285714285715,9.260574591149394,14
4,6,12,18.857142857142858,11.441201811920761,14
4,6,13,20.0,12.133868683596722,14
4,6,14,23.285714285714285,11.404645284529199,14
4,6,15,20.923076923076923,6.237808622445579,13
4,6,16,20.5,10.566638356348067,14
4,6,17,16.642857142857142,7.001177295032851,14
4,6,18,17.066666666666666,10.12399318921334,15
4,6,19,17.6,9.241212041718336,15
4,6,20,15.8,9.711554237828551,15
4,6,21,16.733333333333334,11.404677403007359,15
4,6,22,15.866666666666667,12.546295222475987,15
4,6,23,15.933333333333334,10.773424092026946,15
4,7,0,15.714285714285714,8.324464144718464,14
4,7,1,15.866666666666667,10.398259927690281,15
4,7,2,15.2,11.748556142291335,15
4,7,3,16.6,12.87189629719391,15
4,7,4,15.866666666666667,11.782957830616864,15
4,7,5,16.266666666666666,13.376240485420764,15
4,7,6,16.4,11.431785262403869,15
4,7,7,17.466666666666665,11.012114541116372,15
4,7,8,18.733333333333334,14.439364185975714,15
