available_capacity_MW,probability
39.0132,1.5451473313356061e-18
39.1179,3.589241507834344e-15
39.2903,2.00968160100064e-15
39.3254,1.1562906872311687e-16
39.8398,3.25951756342938e-15
40.0,2.5770032332812588e-12
40.1419,2.1755740952696796e-17
40.142,3.08666450853932e-13
40.3486,1.795677208882713e-15
40.3596,3.053749875330377e-13
40.6179,2.9679569582960253e-15
40.6332,2.9883125395117346e-13
40.6879,1.3556119499999762e-18
40.8319,1.0155222563270419e-16
40.9629,2.893322129085289e-13
41.3486,2.776926278239015e-13
41.4519,2.700204674910103e-15
41.4628,1.5752281116652334e-15
41.4803,1.908679565111309e-17
41.7904,2.520694111861375e-13
42.0,9.606658329708229e-18
42.2882,2.3062854626983884e-13
42.342,2.4452851378369056e-15
42.3945,8.785779678107888e-17
42.6332,1.4086703494167324e-15
42.842,2.102534310983869e-13
42.8748,1.6844396956335482e-17
43.2882,2.1996210097294525e-15
43.4519,1.9306350575842067e-13
43.8595,1.2309077641534664e-15
44.0132,7.653283654623237e-17
44.1179,1.7771188567141132e-13
44.2903,1.979485369838397e-15
44.3254,1.4372104241866493e-17
44.8398,1.6138646878783782e-13
45.0,1.275704522220973e-13
45.1419,1.0822931736568863e-15
45.142,1.528004242008191e-14
45.3486,1.768696475185795e-15
45.3596,1.5117103755940503e-14
45.6179,1.4695060962019732e-13
45.6332,1.4793166617842144e-14
45.6879,6.714494189999883e-17
45.8319,1.262242435145532e-17
45.9629,1.4322931677568723e-14
46.3486,1.374673250414633e-14
46.4519,1.3369355710102912e-13
46.4628,1.5515597095813292e-15
46.4803,9.495198846639592e-16
46.7904,1.247829585973349e-14
47.0,4.758282895052748e-16
47.2882,1.1416899894807825e-14
47.342,1.2107188438023875e-13
47.3945,1.0920276602953782e-17
47.6332,1.3875045411209277e-15
47.842,1.040826217835846e-14
47.8748,8.379662122217398e-16
48.2882,1.0890846897547808e-13
48.4519,9.557302225742739e-15
48.8595,1.2124129063773533e-15
49.0132,9.512641733732815e-18
49.1179,8.797344655046175e-15
49.2903,9.800902975325458e-14
49.3254,7.149758928403281e-16
49.8398,7.989180820536763e-15
50.0,6.346307850442719e-12
50.1419,1.0660313066821432e-15
50.142,7.601435244333679e-13
50.3486,8.757237012320686e-14
50.3596,7.520377373536059e-13
50.6179,7.274556539726086e-15
50.6332,7.359226827562886e-13
50.6879,8.345774249999856e-18
50.8319,6.27933736675934e-16
50.9629,7.125296819396563e-13
51.3486,6.838652281103099e-13
51.4519,6.6182872098467474e-15
51.4628,7.682141230107811e-14
51.4803,9.352529869045414e-16
51.7904,6.207637081736106e-13
52.0,5.914303257405408e-17
52.2882,5.679619392113996e-13
52.342,5.993471347764823e-15
52.3945,5.432561845408827e-16
52.6332,6.86986506319058e-14
52.842,5.177847598829841e-13
52.8748,8.253754508604385e-16
53.2882,5.391340786300685e-15
53.4519,4.754516511291212e-13
53.8595,6.002944726187536e-14
54.0132,4.732299044306476e-16
54.1179,4.3764568107174166e-13
54.2903,4.851781358284027e-15
54.3254,7.042331078514582e-16
54.8398,3.974415711226623e-13
55.0,6.250952158882767e-12
55.1419,5.2781746026766913e-14
55.142,7.487220785840136e-13
55.3486,4.335131098983409e-15
55.3596,7.407380840410846e-13
55.6179,3.6189081775910084e-13
55.6332,7.248651642742651e-13
55.6879,4.1518119374999286e-16
55.8319,6.184987932213108e-16
55.9629,7.018236522008673e-13
56.3486,6.735898927031702e-13
56.4519,3.292430758433863e-13
56.4628,3.8029220068576904e-15
56.4803,4.630660029976918e-14
56.7904,6.114364971269411e-13
57.0,2.9422165194668315e-15
57.2882,5.594280948455835e-13
57.342,2.9816006452264406e-13
57.3945,5.350935535447354e-16
57.6332,3.400817591137101e-15
57.842,5.100048467395645e-13
57.8748,4.086630209729248e-14
58.2882,2.682055896215241e-13
58.4519,4.683078090613942e-13
58.8595,2.9716624468837724e-15
59.0132,4.661194449529079e-16
59.1179,4.310698880972626e-13
59.2903,2.4136387060150345e-13
59.3254,3.486825650359585e-14
59.8398,3.914698602063014e-13
60.0,3.094608278346583e-10
