available_capacity_MW,probability
224.7082,0.00024930102811530566
225.0,6.33970780183406e-05
225.9629,0.00020933967725693926
227.0,0.000929333381806484
229.7082,0.0002455551852563142
230.0,0.003153844537781086
230.9629,0.010414120307984102
232.0,3.891644230687441e-07
234.7082,0.012155274083423533
235.0,0.0031064568228986885
235.9629,0.010257644185590022
237.0,1.935994730922793e-05
239.7082,5.789782072500421e-05
240.0,0.1537696127334851
240.9629,0.5077533871867062
242.0,1.906905673036846e-05
244.7082,0.002880270374450968
247.0,0.0009439410160613605
249.7082,0.0028369932155252056
252.0,4.496165808176182e-06
254.7082,0.14043116416849769
257.0,0.00022367289500270404
262.0,0.00022031212460063286
267.0,0.010905450167731328
