z_midpoint,probability,annual_mu,annual_sigma,wind_speed_raw_kmh,probability_raw,wind_speed_kmh
0.7000000000000001,0.0283274733637747,19.53,10.06,26.572000000000003,0.0283274733637747,26.572000000000003
0.8,0.0258962328767123,19.53,10.06,27.578000000000003,0.0258962328767123,27.578000000000003
0.9,0.0235318873668188,19.53,10.06,28.584000000000003,0.0235318873668188,28.584000000000003
1.0,0.0211859969558599,19.53,10.06,29.590000000000003,0.0211859969558599,29.590000000000003
1.1,0.0189804794520547,19.53,10.06,30.596000000000004,0.0189804794520547,30.596000000000004
1.2000000000000002,0.0168542617960426,19.53,10.06,31.602000000000004,0.0168542617960426,31.602000000000004
1.3,0.0149582952815829,19.53,10.06,32.608000000000004,0.0149582952815829,32.608000000000004
1.4,0.0131210426179604,19.53,10.06,33.614000000000004,0.0131210426179604,33.614000000000004
1.5,0.0114440639269406,19.53,10.06,34.620000000000005,0.0114440639269406,34.620000000000005
1.6,0.0099499619482496,19.53,10.06,35.626000000000005,0.0099499619482496,35.626000000000005
1.7000000000000002,0.0086687975646879,19.53,10.06,36.632000000000005,0.0086687975646879,36.632000000000005
1.8,0.0074331430745814,19.53,10.06,37.638000000000005,0.0074331430745814,37.638000000000005
1.9,0.0064111111111111,19.53,10.06,38.644000000000005,0.0064111111111111,38.644000000000005
2.0,0.0054604642313546,19.53,10.06,39.650000000000006,0.0054604642313546,39.650000000000006
2.1,0.0046731735159817,19.53,10.06,40.656000000000006,0.0046731735159817,40.656000000000006
2.2,0.0039310502283105,19.53,10.06,41.662000000000006,0.0039310502283105,41.662000000000006
2.3000000000000003,0.0033458143074581,19.53,10.06,42.668000000000006,0.0033458143074581,42.668000000000006
2.4000000000000004,0.0028022831050228,19.53,10.06,43.67400000000001,0.0028022831050228,43.67400000000001
2.5,0.0023458523592085,19.53,10.06,44.68000000000001,0.0023458523592085,44.68000000000001
2.6,0.0019612252663622,19.53,10.06,45.68600000000001,0.0019612252663622,45.68600000000001
2.7,0.0016437595129375,19.53,10.06,46.69200000000001,0.0016437595129375,46.69200000000001
2.8000000000000003,0.0013652207001522,19.53,10.06,47.69800000000001,0.0013652207001522,47.69800000000001
2.9000000000000004,0.0011259132420091,19.53,10.06,48.70400000000001,0.0011259132420091,48.70400000000001
3.0,0.0009223363774733,19.53,10.06,49.71,0.0009223363774733,49.71
3.1,0.0007704718417047,19.53,10.06,50.71600000000001,0.0007704718417047,50.71600000000001
3.2,0.0006256849315068,19.53,10.06,51.722,0.0006256849315068,51.722
3.3000000000000003,0.0005206621004566,19.53,10.06,52.72800000000001,0.0005206621004566,52.72800000000001
3.4000000000000004,0.0004203957382039,19.53,10.06,53.73400000000001,0.0004203957382039,53.73400000000001
3.5,0.0003350837138508,19.53,10.06,54.74,0.0003350837138508,54.74
3.6,0.0002826484018264,19.53,10.06,55.746,0.0002826484018264,55.746
3.7,0.0002226407914764,19.53,10.06,56.752,0.0002226407914764,56.752
3.8,0.0001775114155251,19.53,10.06,57.758,0.0001775114155251,57.758
3.9,0.0001483257229832,19.53,10.06,58.764,0.0001483257229832,58.764
4.0,0.0001162480974124,19.53,10.06,59.77,0.0001162480974124,59.77
4.1000000000000005,9.665144596651444e-05,19.53,10.06,60.77600000000001,9.665144596651444e-05,60.77600000000001
4.2,7.671232876712329e-05,19.53,10.06,61.782000000000004,7.671232876712329e-05,61.782000000000004
4.3,6.278538812785389e-05,19.53,10.06,62.788000000000004,6.278538812785389e-05,62.788000000000004
4.4,5.041856925418569e-05,19.53,10.06,63.794000000000004,5.041856925418569e-05,63.794000000000004
4.5,3.9878234398782346e-05,19.53,10.06,64.80000000000001,3.9878234398782346e-05,64.80000000000001
4.6000000000000005,3.120243531202435e-05,19.53,10.06,65.80600000000001,3.120243531202435e-05,65.80600000000001
4.7,2.6369863013698625e-05,19.53,10.06,66.81200000000001,2.6369863013698625e-05,66.81200000000001
4.800000000000001,1.9824961948249618e-05,19.53,10.06,67.81800000000001,1.9824961948249618e-05,67.81800000000001
4.9,1.491628614916286e-05,19.53,10.06,68.82400000000001,1.491628614916286e-05,68.82400000000001
5.0,1.2633181126331807e-05,19.53,10.06,69.83000000000001,1.2633181126331807e-05,69.83000000000001
